leftArmpitAngle,rightArmpitAngle,leftShoulderAngle,rightShoulderAngle,leftElbowAngle,rightElbowAngle,leftHipAngle,rightHipAngle,leftGroinAngle,rightGroinAngle,leftKneeAngle,rightKneeAngle,slope,verticalPose,ratioAvg,action
1.56,14.07,1.56,14.07,140.91,142.46,90.91,96.96,90.91,96.96,173.71,168.81,2.4936939608825153,1000,1.2285308436088647,squat
12.94,34.86,12.94,34.86,146.7,139.27,79.97,111.57,79.97,111.57,179.85,144.88,2.1121472558874324,1000,1.2876122076836176,squat
7.78,32.11,7.78,32.11,147.71,140.43,75.54,115.35,75.54,115.35,177.51,147.14,1.7979181913791666,1000,1.2307441848825955,squat
2.12,26.33,2.12,26.33,169.06,177.25,91.05,99.91,91.05,99.91,172.28,147.97,2.4096293850172352,1000,1.1237321062663552,squat
21.17,12.49,21.17,12.49,158.4,150.92,105.41,90.67,105.41,90.67,157.52,172.61,2.7535248835809583,1000,1.1133318470709321,squat
1.57,31.77,1.57,31.77,43.63,20.19,87.88,102.67,87.88,102.67,175.89,160.16,3.3290348471830638,1000,1.2541992662027046,squat
14.5,31.23,14.5,31.23,136.55,152.5,79.28,112.45,79.28,112.45,177.98,144.15,23.256119439292284,1000,1.3161902047290432,squat
14.86,37.14,14.86,37.14,145.11,153.97,80.56,109.29,80.56,109.29,179.97,139.06,19.243781476739223,1000,1.333776857499021,squat
3.37,16.75,3.37,16.75,175.56,179.44,93.51,97.13,93.51,97.13,175.18,170.34,2.2206342665507273,1000,1.213490492802513,squat
17.6,35.64,17.6,35.64,144.82,142.13,83.78,107.11,83.78,107.11,175.87,145.06,0.7855352748659683,-1000,1.3548957573023663,squat
6.88,33.83,6.88,33.83,123.44,156.12,73.22,120.28,73.22,120.28,173.38,149.04,2.126736989249292,1000,1.1798077699734852,squat
8.88,21.09,8.88,21.09,153.99,138.38,88.34,101.16,88.34,101.16,173.92,167.08,2.395882941096707,1000,1.2061266981351544,squat
0.47,24.64,0.47,24.64,55.85,25.26,87.84,101.25,87.84,101.25,179.1,163.28,3.744225624711489,1000,1.1411285937260893,squat
13.59,30.78,13.59,30.78,83.08,13.26,91.36,96.34,91.36,96.34,174.66,164.25,2.072388531512311,1000,1.258885690552266,squat
14.63,36.39,14.63,36.39,141,149.37,79.16,111.96,79.16,111.96,177.16,139.25,26.59947125432832,1000,1.3734488476790412,squat
13.67,30.14,13.67,30.14,142.19,159.19,81.01,111.77,81.01,111.77,178.31,138.99,15.541144174586092,1000,1.2663796790545576,squat
15.4,19.04,15.4,19.04,154.87,170.32,91.09,99.15,91.09,99.15,174.71,173.63,2.1653997575803134,1000,1.2214472050464344,squat
18.21,37.35,18.21,37.35,144.92,145.82,88.15,104.84,88.15,104.84,178.29,140.61,0.7854625900978124,-1000,1.4054878448959554,squat
8.99,35.2,8.99,35.2,49.77,6.19,75.24,121.33,75.24,121.33,179.86,146.73,2.177896229601576,1000,1.2301945574917654,squat
1.89,23.59,1.89,23.59,84.07,11.17,94.19,97.57,94.19,97.57,174.19,168.58,2.3403325913348323,1000,1.2054006631608454,squat
13.07,7.68,13.07,7.68,109.89,90.22,83.59,104.67,83.59,104.67,171.37,170.79,3.1622357278598576,1000,1.08035878543634,squat
14.36,25.83,14.36,25.83,151.46,42.34,87.69,99.32,87.69,99.32,175.96,169.53,2.202828583095344,1000,1.2023339562872424,squat
11.81,40.43,11.81,40.43,149.55,153.3,81.44,110.19,81.44,110.19,179.89,147.94,16.18467526028752,1000,1.6845199131462065,squat
15.1,30.53,15.1,30.53,135.6,156.25,83.28,111.29,83.28,111.29,174.47,140.77,1.8937259687334531,1000,1.2590302052534192,squat
16.17,41.14,16.17,41.14,152.69,129.63,94.27,100.8,94.27,100.8,175.34,173.77,2.2999607401349174,1000,1.267161047652806,squat
17.9,36.92,17.9,36.92,146.58,145.16,88.18,104.62,88.18,104.62,177.25,139.25,1.3543920638804756,1000,1.4113762964856387,squat
8.11,38.86,8.11,38.86,53.44,7.96,77.54,117.32,77.54,117.32,177.38,146.54,1.5713445370860402,1000,1.2387529566895612,squat
0.29,26.97,0.29,26.97,35.12,5.53,90.13,104.23,90.13,104.23,172.68,171.43,2.8905864114011752,1000,1.1503606533757291,squat
3.11,13.23,3.11,13.23,48.48,53.9,85.82,104.55,85.82,104.55,176.89,166.88,2.5528087215789577,1000,1.0761520493424062,squat
10.66,26,10.66,26,149.21,11.88,89.5,100.96,89.5,100.96,173.7,147.05,2.4341643801496855,1000,1.1036325773605813,squat
8.57,35.39,8.57,35.39,153.56,161.53,88.06,102.15,88.06,102.15,179.01,130.37,13.61584632630177,1000,1.4215231452562729,squat
11.81,28.83,11.81,28.83,105.09,45.43,80.79,113.95,80.79,113.95,175.21,143.85,2.0990286972006427,1000,1.1479043185164666,squat
8.8,39.02,8.8,39.02,136.87,4.08,73.44,122.08,73.44,122.08,176.5,144.05,2.3382514155562184,1000,1.2931095710162432,squat
17.57,38.19,17.57,38.19,147.57,143.5,88.29,105.41,88.29,105.41,180,140.59,1.3875460734281784,1000,1.3787807499469273,squat
7.88,20.96,7.88,20.96,142.15,120.48,84.68,101.03,84.68,101.03,171.44,147.5,2.472571993952298,1000,1.1012512417407447,squat
0.64,36,0.64,36,35.09,16.06,85.91,106.71,85.91,106.71,173.29,167.11,20.03786916007914,1000,1.0591840410421267,squat
4.11,14.3,4.11,14.3,32.21,41.28,91.64,98.41,91.64,98.41,176.02,165.77,2.990186519882311,1000,1.152866935241207,squat
